Number	AUTO_ID	D001	D002	D003	D004	D005	D006	D007	D008	D009	D010	D011	D012	D013	D014	D015	D016	D017	D018	D019	D020	D021	D022	D023	D024	D025	D026	D027	D028	D029	D030	D031	D032	D033	D034	D035	D036	D037	D038	D039	D040	D041	D042	D043	D044	D045	D046	D047	D048	D049	D050	D051	D052	D053	D054	D055	D056	D057	D058	D059	D060	D061	D062	D063	D064	D065	D066	D067	D068	D069	D070	D071	D072	D073	D074	D075	D076	D077	D078	D079	D080	D081	D082	D083	D084	D085	D086	D087	D088	D089	D090	D091	D092	D093	D094	D095	D096	D097	D098	D099	D100	D101	D102	D103	D104	D105	D106	D107	D108	D109	D110	D111	D112	D113	D114	D115	D116	D117	D118	D119	D120	D121	D122	D123	D124	D125	D126	D127	D128	D129	D130	D131	D132	D133	D134	D135	D136	D137	D138	D139	D140	D141	D142	D143	D144	D145	D146	D147	D148	D149	D150	D151	D152	D153	D154	D155	D156	D157	D158	D159	D160	D161	D162	D163	D164	D165	D166	D167	D168	D169	D170	D171	D172	D173	D174	D175	D176	D177	D178	D179	D180	D181	D182	D183	D184	D185	D186	D187	D188	D189	D190	D191	D192	D193	D194	D195	D196	D197	D198	D199	D200	D201	D202	D203	D204	D205	D206	D207	D208	D209	D210	D211	D212	D213	D214	D215	D216	D217	D218	D219	D220	D221	D222	D223	D224	D225	D226	D227	D228	D229	D230	D231	D232	D233	D234	D235	D236	D237	D238	D239	D240	D241	D242	D243	D244	D245	D246	D247	D248	D249	D250	D251	D252	D253	D254	D255	D256	D257	D258	D259	D260	D261	D262	D263	D264	D265	D266	D267	D268	D269	D270	D271	D272	D273	D274	D275	D276	D277	D278	D279	D280	D281	D282	D283	D284	D285	D286	D287	D288	D289	D290	D291	D292	D293	D294	D295	D296	D297	D298	D299	D300	D301	D302	D303	D304	D305	D306	D307	D308	D309	D310	D311	D312	D313	D314	D315	D316	D317	D318	D319	D320	D321	D322	D323	D324	D325	D326	D327	D328	D329	D330	D331	D332	D333	D334	D335	D336	D337	D338	D339	D340	D341	D342	D343	D344	D345	D346	D347	D348	D349	D350	D351	D352	D353	D354	D355	D356	D357	D358	D359	D360	D361	D362	D363	D364	D365	D366	D367	D368	D369	D370	D371	D372	D373	D374	D375	D376	D377	D378	D379	D380	D381	D382	D383	D384	D385	D386	D387	D388	D389	D390	D391	D392	D393	D394	D395	D396	D397	D398	D399	D400	D401	D402	D403	D404	D405	D406	D407	D408	D409	D410	D411	D412	D413	D414	D415	D416	D417	D418	D419	D420	D421	D422	D423	D424	D425	D426	D427	D428	D429	D430	D431	D432	D433	D434	D435	D436	D437	D438	D439	D440	D441	D442	D443	D444	D445	D446	D447	D448	D449	D450	D451	D452	D453	D454	D455	D456	D457	D458	D459	D460	D461	D462	D463	D464	D465	D466	D467	D468	D469	D470	D471	D472	D473	D474	D475	D476	D477	D478	D479	D480	D481	D482	D483	D484	D485	D486	D487	D488	D489	D490	D491	D492	D493	D494	D495	D496	D497	D498	D499	D500	D501	D502	D503	D504	D505	D506	D507	D508	D509	D510	D511	D512	D513	D514	D515	D516	D517	D518	D519	D520	D521	D522	D523	D524	D525	D526	D527	D528	D529	D530	D531	D532	D533	D534	D535	D536	D537	D538	D539	D540	D541	D542	D543	D544	D545	D546	D547	D548	D549	D550	D551	D552	D553	D554	D555	D556	D557	D558	D559	D560	D561	D562	D563	D564	D565	D566	D567	D568	D569	D570	D571	D572	D573	D574	D575	D576	D577	D578	D579	D580	D581	D582	D583	D584	D585	D586	D587	D588	D589	D590	D591	D592	D593	D594	D595	D596	D597	D598	D599	D600	D601	D602	D603	D604	D605	D606	D607	D608	D609	D610	D611	D612	D613	D614	D615	D616	D617	D618	D619	D620	D621	D622	D623	D624	D625	D626	D627	D628	D629	D630	D631	D632	D633	D634	D635	D636	D637	D638	D639	D640	D641	D642	D643	D644	D645	D646	D647	D648	D649	D650	D651	D652	D653	D654	D655	D656	D657	D658	D659	D660	D661	D662	D663	D664	D665	D666	D667	D668	D669	D670	D671	D672	D673	D674	D675	D676	D677	D678	D679	D680	D681	D682	D683	D684	D685	D686	D687	D688	D689	D690	D691	D692	D693	D694	D695	D696	D697	D698	D699	D700	D701	D702	D703	D704	D705	D706	D707	D708	D709	D710	D711	D712	D713	D714	D715	D716	D717	D718	D719	D720	D721	D722	D723	D724	D725	D726	D727	D728	D729	D730	D731	D732	D733	D734	D735	D736	D737	D738	D739	D740	D741	D742	D743	D744	D745	D746	D747	D748	D749	D750	D751	D752	D753	D754	D755	D756	D757	D758	D759	D760	D761	D762	D763	D764	D765	D766	D767	D768	D769	D770	D771	D772	D773	D774	D775	D776	D777
1	         2	2	0	0	0	3	0	0	0	0	0	0	14	4	4	0.181818	2	12	30	10	0	0	0	0	15	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270.245	9.00817	30	20	32	22	3	0	0	147.207	43.7744	1.45915	8	0.000771605	14.3341	1.875	2.04767	34	86.7575	78.1	0.241274	22.0912	0.736373	30.3725	1.01242	31.1741	1.03914	38.2	1.27333	26.0395	0.867982	108	338	228	17	631	45	3406	6632	3466	12650	19.4778	82.4075	781	4.11053	68.3159	44.592	548.214	45.3841	1246	22.296	2.51959	1787	10445	10.4455	87.1524	6701	606.583	606.65	640.11	605.79	603.296	603.333	734.026	1.66942	2.69165	2.69147	2.59417	2.69377	2.70038	2.70028	2.89497	2.07459	5.38182	35.1531	295.248	55.8333	2.79167	14.2757	9.55855	9.01156	7.49994	6.6183	5.05608	0.713783	0.43448	0.281611	0.174417	0.114109	0.0692614	10.1996	5.82951	4.36341	3.01986	2.0585	1.36263	0.509979	0.264978	0.136356	0.0702293	0.0354915	0.0186662	14.2757	9.55855	9.01156	7.49994	6.6183	5.05608	0.794934	60.569	3.13196	156.593	36.0322	12.7208	4.66735	2.18781	2.96863	354	165	8.25	1.275	13.01	57	422	60	0.595298	0.35169	0.194487	0.105441	0.833333	5	1.08048	2.5037	3.09198	7.34664	587.476	5737.73	3.64644	4.29239	1.80161	5.14277	3.00311	2.01944	27.1624	0.249215	0.374443	0.732621	1.45915	43.7744	0.297367	3.44774	0.274177	2.4798	74.394	0.505371	2.42709	0.465959	3.80624	114.187	0.775693	1.10065	0.715199	4.28173	128.452	0.872595	0.625163	0.804544	4.50689	135.207	0.918482	0.4	0.846853	4.64022	139.207	0.945655	0.266667	0.871907	2.47413	5.34711	62.7406	62.7477	66.4079	77.1535	62.6556	62.3889	62.393	1.25	1.24636	-0.592105	-6.10574	1.2936	1.43064	1.42857	125.565	125.578	133.423	161.21	125.4	124.887	124.895	0	0	122.86	0	0	0	0	0	0	0	0	0	122.86	0	0	0	68.2155	0	0	0	32	43	58	73	79	83	91	95	87	106.5	190	317.625	415.688	541.125	783.281	1077.47	1426.78	878	13446.9	15.3154	141.721	40.837	20.038	20.3102	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	54	129	318	769	1902	3214	20	44	0	172	0	818	24.9151	37.107	41.5956	40.0978	28.1657	23.1403	18.7718	12.3316	23.505	34.7417	39.5674	35.306	28.9097	23.1453	19.237	14.3696	34.8816	52.6825	71.132	74.4634	64.125	48.0905	41.2908	35.4599	35.5852	51.6124	55.6762	47.161	38.6595	31.8505	26.6395	19.1554	0.638762	0.501439	0.296728	0.312036	0.262903	0.395845	0.547225	0.150196	0.112796	0.455834	0.316541	0.470397	0.320041	0.695507	0.817964	0.403161	0.720502	0.791078	0.74712	0.526717	0.665207	0.96432	1.02831	0.827596	0.628198	0.711686	0.735617	1.04792	0.789159	0.872751	0.994971	0.863541	0.173087	0.179818	0.257055	0.167412	0.232496	0.228398	0.187126	0.375721	0.316071	0.320878	0.274286	0.587342	0.55818	0.235681	0.195263	0.30576	0.843224	0.550544	0.730773	0.765974	0.905242	0.65161	0.707842	1.36705	0.621134	0.789834	1.06362	0.942468	1.11606	0.882558	0.59905	1.14178	4.5	2.66667	2	1.51111	0.791667	0.422857	0.177083	0.196523	0.04	0.0412203	0.236842	0.140351	0.105263	0.0795322	0.0416667	0.0222556	0.00932017	0.0103433	0.00210526	0.00216949	0.649849	8.02248	8.01106	8.00694	8.005	8.00496	6.32335	6.29998	6.23147	20.9075	20.8826	20.8158	20.7451	20.7284	20.7275	20.7122	20.5842	3.50419	3.48166	3.4743	3.4715	3.47112	2.78895	2.76608	2.69695	1.15591	1.09034	1.07351	0.647165	0.646134	0.645021	0.635013	0.413483	9.25783	8.85675	8.79149	8.73271	8.50832	8.22589	7.72515	7.40154	23.2802	23.1276	22.5794	22.046	21.8798	21.8042	21.6299	20.869	5.44692	5.13446	4.84671	4.56434	4.33438	4.25837	3.82525	3.69474	4.18373	3.97708	3.50651	3.00182	2.88193	2.60674	2.53896	2.33702	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	2	4	0	0	0	1	0	0	0	3	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.90689	1.11126	0.545455	1.6401
2	         3	2	0	0	0	3	0	0	0	0	0	0	12	4	3	0.15	0	12	26	14	0	0	0	0	15	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242.278	7.57119	32	18	34	20	3	0	0	160	43.3388	1.35434	6	0.00115741	13.5231	2	2.11972	27	75.9135	69.2222	0.269524	22.0685	0.68964	31.2824	0.977574	31.9028	0.996964	39.816	1.24425	25.5376	0.79805	96	246	184	15	435	39	2778	4784	2876	8232	17.9932	19.5959	623	4.0719	57.1512	38.411	423.615	38.7671	1006	19.2055	2.63845	1405	8069	7.81454	70.6675	5314	492.125	492.2	530.257	491.222	488.386	488.429	629.917	1.53919	2.54804	2.54792	2.48137	2.54949	2.55401	2.55394	2.66887	1.43349	3.39391	17.7146	105.792	42.1667	2.34259	12.5352	8.72035	8.03147	6.64297	5.34557	4.71319	0.696398	0.436017	0.286838	0.184527	0.116208	0.0760192	9.83569	5.95814	4.59561	3.32157	2.32155	1.71611	0.546427	0.297907	0.164129	0.0922659	0.0504684	0.0276792	12.5352	8.72035	8.03147	6.64297	5.34557	4.71319	0.893721	54.385	3.09352	130.637	35.449	11.4171	4.53769	2.32067	2.87817	324	149	8.27778	1.30864	11.8025	51	328	50	0.586243	0.332333	0.172942	0.105096	0.833333	3	0.694987	2.53049	3.11152	7.01312	476.062	4369.18	3.53049	4.14053	1.81634	4.81753	3.04964	1.9533	25.8244	0.259593	0.397028	0.736158	1.35434	43.3388	0.270867	3.64566	0.254482	2.49123	79.7193	0.498246	2.50877	0.468106	3.77621	120.839	0.755242	1.22379	0.709557	4.24173	135.735	0.848346	0.758271	0.797029	4.39032	140.49	0.878064	0.60968	0.824949	4.625	148	0.925	0.375	0.869046	2.40189	5.34711	56.3033	56.3122	60.9206	73.5416	56.1959	55.859	55.8641	0.75	0.747816	-0.355263	-3.24398	0.776163	0.858381	0.857143	111.967	111.985	122.884	158.568	111.743	111.048	111.058	0	0	110.931	0	0	0	0	0	0	0	0	0	110.931	0	0	0	61.2094	0	0	0	28	36	46	62	62	67	74	79	68	81.5	135.75	235	242.25	292.781	419.062	619.312	774.562	710	6830.05	9.61979	69.0065	37.1596	18.0394	18.315	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	48	112	268	634	1518	2618	18	40	0	152	0	700	22.5588	32.66	33.5654	26.6517	21.7031	17.9575	14.4874	10.6084	23.5826	35.5468	40.4581	35.8694	29.6247	23.4896	18.2902	13.0437	35.446	58.5557	79.7278	82.2905	71.4825	54.9091	43.0848	32.6923	33.4635	48.969	53.1206	45.7471	39.024	32.1792	25.5089	17.7904	0.836928	0.65857	0.480778	0.449376	0.70022	0.923755	0.945646	0.457073	0.341494	0.550924	0.837327	0.610561	0.620704	0.831379	0.365393	0.468922	0.737362	0.826258	0.976136	0.863739	0.780074	0.86447	0.700598	0.599936	0.809442	0.877171	0.928961	0.956022	0.928393	0.916355	0.916778	0.986049	0.098313	0.102392	0.112127	0.109849	0.092427	0.085756	0.113567	0.222478	0.357968	0.387877	0.308629	0.422794	0.530648	0.213677	0.112144	0.227548	0.843689	0.76447	0.539281	0.895182	0.798721	0.167493	0.570382	0.639699	0.405431	0.61628	0.783854	0.762269	0.478658	0.302069	0.39817	1.09497	4	2.22222	0.75	1.04889	0.472222	0.260408	0.161458	0.151424	0.04	0.0412203	0.235294	0.130719	0.0441176	0.0616994	0.0277778	0.0153181	0.00949755	0.00890727	0.00235294	0.00242472	0.538109	8.01086	8.00646	8.00499	6.31918	6.30016	6.19227	6.15982	6.148	20.9012	20.8815	20.7742	20.7421	20.7279	20.7275	20.6802	20.5799	3.48123	3.4734	3.47141	2.78652	2.7681	2.66002	2.62729	2.618	1.17955	1.11242	1.087	1.03574	0.909819	0.646865	0.645346	0.625512	9.08317	8.82232	8.66616	8.24369	8.03801	7.50748	7.22474	7.09655	23.2182	23.1119	22.4142	22.0106	21.8435	21.8042	21.4934	20.7208	5.28426	5.11079	4.6447	4.32671	4.15246	3.70224	3.69474	3.43364	4.0447	3.94837	3.19533	2.91087	2.75432	2.60674	2.24636	1.75922	0	0	0	0	2	1	0	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	3	0	0	0	0	0	0	1	2	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.70044	0.327468	0.6	2.34593
3	         4	2	0	0	0	3	0	0	0	0	0	0	14	4	3	0.142857	2	12	29	10	0	0	0	0	15	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.246	8.76709	29	19	31	21	3	0	0	140.881	41.0588	1.41582	7	0.000945019	13.9286	1.9322	2.08149	31	81.1426	73.0526	0.252277	21.3764	0.737117	29.0157	1.00054	29.7571	1.02611	36.608	1.26234	25.4154	0.876394	102	306	206	16	558	42	3059	5757	3137	10685	18.7127	37.2425	694	4.05848	62.8107	41.5753	480.215	41.7457	1104	20.7877	2.51995	1598	9328	9.10959	78.053	5920	526.083	526.16	564.767	525.168	522.29	522.333	671.815	1.62024	2.72998	2.72982	2.64208	2.73189	2.73786	2.73777	2.91743	1.8408	5.32099	27.5632	146.551	50.1667	2.64035	13.4054	9.14787	8.46243	7.19091	5.9122	4.92168	0.705548	0.435613	0.282081	0.179773	0.113696	0.0723777	9.82973	5.68924	4.20584	2.9365	1.95725	1.34339	0.517354	0.270916	0.140195	0.0734125	0.0376394	0.0197557	13.4054	9.14787	8.46243	7.19091	5.9122	4.92168	0.812749	57.5275	3.10411	143.867	33.0591	11.8096	4.44428	2.08637	2.76237	337	156	8.21053	1.2964	12.3767	53	381	55	0.591103	0.346402	0.183788	0.105973	0.833333	4	0.894301	2.52399	3.08926	7.18705	528.263	4987.81	4.0374	4.21769	1.73995	5.11227	3.01825	1.98891	26.4706	0.257384	0.388637	0.748525	1.41582	41.0588	0.291442	3.44216	0.267874	2.38724	69.23	0.491406	2.47074	0.451667	3.64552	105.72	0.750419	1.21246	0.689734	4.09023	118.617	0.841962	0.767747	0.773874	4.34919	126.127	0.895267	0.508789	0.822869	4.58212	132.881	0.943215	0.275862	0.866939	2.44745	5.34711	57.2127	57.2215	61.7039	74.6223	57.1084	56.7812	56.7861	1	0.997087	-0.473684	-5.02441	1.03488	1.14451	1.14286	115.524	115.537	123.933	159.819	115.369	114.891	114.898	0	0	114.67	0	0	0	0	0	0	0	0	0	114.67	0	0	0	65.1601	0	0	0	30	40	52	68	71	76	82	84	74	100.5	174.25	300.75	378.375	509.719	713.25	982.125	1258.03	786	12088.8	15.3801	127.444	38.9956	19.0391	19.3157	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	51	121	294	707	1723	2936	19	42	0	162	0	762	23.5551	34.5268	37.5787	32.3551	24.9567	20.3573	15.8912	10.692	22.8906	33.6638	37.647	32.6224	26.4705	21.3406	17.4283	12.8003	33.106	50.8161	67.4293	67.8953	56.5224	43.1041	36.7436	30.5038	35.0194	50.4625	53.6209	44.498	36.2391	29.8714	24.6972	17.4208	0.66164	0.542692	0.357482	0.344879	0.324156	0.496961	0.718145	0.222763	0.213235	0.436239	0.543938	0.377493	0.432871	0.742813	0.628097	0.784598	0.731725	0.755891	0.760511	0.551766	0.693257	0.983614	0.945346	0.854813	0.693665	0.765093	0.823148	0.955764	0.842399	0.911455	1.02474	0.967773	0.144864	0.153042	0.185326	0.148302	0.189999	0.192	0.139525	0.292732	0.30267	0.349441	0.362089	0.595827	0.500074	0.146627	0.196566	0.349314	0.788488	0.632893	0.523059	0.738866	0.766586	0.573406	0.909682	0.990429	0.55942	0.713867	0.979167	0.971325	1.0343	0.744731	0.360596	1.03982	4	2.66667	1.4375	1.36	0.618056	0.341224	0.161458	0.151424	0.04	0.0412203	0.222222	0.148148	0.0798611	0.0755556	0.0343364	0.0189569	0.00896991	0.00841242	0.00222222	0.00229002	0.600975	8.02233	8.01058	8.0064	8.00499	6.3238	6.30084	6.23147	6.16081	20.9073	20.8824	20.8158	20.745	20.7279	20.7275	20.7121	20.5841	3.50405	3.48121	3.47336	3.47141	2.78977	2.76847	2.69695	2.62671	1.22571	1.15591	1.08569	1.07341	0.646883	0.645359	0.635014	0.413483	9.22898	8.83755	8.79094	8.67145	8.23789	7.95331	7.45944	7.22474	23.2725	23.1174	22.5784	22.0413	21.844	21.8042	21.629	20.8551	5.41347	5.11659	4.82714	4.50636	4.32262	3.99788	3.69765	3.69474	4.16131	3.96111	3.50068	2.97563	2.79844	2.60674	2.53723	2.25887	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	2	3	0	0	0	1	0	0	0	2	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.85798	0.348577	0.571429	1.64877
4	         5	2	0	0	0	3	0	0	0	0	0	0	14	4	4	0.181818	2	12	30	12	0	0	0	0	16	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268.273	8.38352	32	20	34	22	3	0	0	160	44.9804	1.40564	7	0.000668229	14.6218	1.93548	2.07734	33	87.7147	82.1	0.25663	23.0798	0.721245	31.7961	0.993627	32.5506	1.01721	40.224	1.257	27.141	0.848155	106	318	212	16	566	44	3580	6508	3658	11618	19.7219	42.72	821	4.32105	67.1013	43.8198	573.614	47.4869	1394	21.9099	2.74486	1791	10613	10.8318	91.4552	6847	620.042	620.153	676.226	618.712	614.532	614.595	829.361	1.58787	2.53815	2.53798	2.44893	2.54008	2.54614	2.54604	2.72493	1.79498	5.42178	24.649	125.354	49.6667	2.48333	14.1125	9.68587	8.63153	7.59916	6.22282	5.03198	0.705626	0.440267	0.278437	0.180932	0.115237	0.0718855	10.7908	6.07801	4.38747	3.15921	2.08684	1.40443	0.539538	0.276273	0.141531	0.0752194	0.0386452	0.0200633	14.1125	9.68587	8.63153	7.59916	6.22282	5.03198	0.828819	61.2935	3.20802	153.142	38.0322	12.7579	5.02117	2.31242	3.20297	384	179	8.95	1.355	14.21	59	462	68	0.583214	0.352396	0.185846	0.102602	1	5	1.08048	2.66596	3.20529	7.32654	609.004	6015.09	3.98418	4.28885	1.80161	5.17106	3.12148	2.01353	27.2725	0.234197	0.357598	0.668393	1.40564	44.9804	0.281128	3.59436	0.260674	2.38421	76.2948	0.476842	2.61579	0.44215	3.94012	126.084	0.788024	1.05988	0.730691	4.28064	136.98	0.856128	0.719361	0.79384	4.53891	145.245	0.907782	0.46109	0.841736	4.60141	147.245	0.920282	0.39859	0.853327	2.44843	5.34711	64.2509	64.2635	70.7537	89.1463	64.1	63.6267	63.6338	1	0.997087	-0.473684	-5.02441	1.03488	1.14451	1.14286	129.601	129.621	142.033	188.933	129.352	128.583	128.594	0	0	125.133	0	0	0	0	0	0	0	0	0	125.133	0	0	0	71.1814	0	0	0	31	42	54	70	75	82	88	90	84	103.5	178.75	307.5	395.25	545.156	747	1015.88	1339.03	877	13642.1	15.5554	143.932	41.0184	20.0373	20.2946	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	53	126	305	734	1785	3045	20	44	0	168	0	788	25.0272	35.7994	39.6626	34.8445	26.5724	21.5674	17.9751	14.629	24.4091	35.4374	39.9987	36.4853	30.4274	23.7863	19.7801	16.7137	36.0024	57.4351	70.3646	73.7573	67.5675	51.2224	39.6789	36.4219	36.5054	52.3642	56.6898	49.4429	41.146	32.9023	27.7661	21.98	0.703117	0.618324	0.435542	0.408069	0.403792	0.555214	0.717037	0.203493	0.198124	0.213299	0.464061	0.46398	0.274319	0.400623	0.514032	0.510998	0.511451	0.545223	0.673062	0.603046	0.549496	0.700599	0.889858	0.4809	0.765476	0.780248	0.849792	0.971347	0.856174	0.905065	0.973928	1.09547	0.116035	0.130688	0.153827	0.124291	0.165148	0.153483	0.11316	0.181586	0.446596	0.404644	0.386262	0.513412	0.505457	0.346796	0.406632	1.46633	0.692604	0.665291	0.54259	0.655086	0.779125	0.721589	1.0704	2.02594	0.563359	0.704034	0.944595	0.929641	1.00452	0.724957	0.367378	0.985834	4	2.66667	1.4375	1.4	0.680556	0.341224	0.192708	0.163769	0.055625	0.0494847	0.210526	0.140351	0.0756579	0.0736842	0.0358187	0.0179592	0.0101425	0.00861943	0.00292763	0.00260446	0.578291	8.0224	8.01196	8.00927	8.00562	6.3239	6.3009	6.23163	6.16085	20.9074	20.8824	20.8158	20.745	20.7279	20.7275	20.7121	20.5841	3.50411	3.48344	3.47989	3.47226	2.79003	2.76859	2.69737	2.6268	1.15631	1.09253	1.08529	1.06996	0.64611	0.635073	0.622379	0.413483	9.22956	8.96897	8.81124	8.67516	8.34209	7.96458	7.52378	7.22474	23.2728	23.1178	22.5796	22.0425	21.8441	21.8042	21.6332	20.8551	5.41445	5.14522	4.85063	4.51551	4.42937	4.05531	3.76753	3.69474	4.16198	3.96485	3.50795	2.98937	2.80159	2.60674	2.57182	2.25921	1	0	0	0	0	0	0	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	2	3	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.90689	-0.31574	0.545455	1.89816
